month,barangay,age,gender,employment_status,educational_attainment,current_skill,work_experience,desired_career,applied_course
2,Dulao,24,Male,Underemployed,Junior High,Driving,Government,Transportation,Driving NC II
9,Ma-ao,45,Female,Self-employed,Senior High,Baking,Hospitality,Business,Bread and Pastry NC II
8,Ilijan,35,Male,Unemployed,Senior High,Masonry,Agriculture,Construction,Masonry NC II
7,Bagroy,33,Male,Underemployed,Senior High,Masonry,Manufacturing,Construction,Masonry NC II
10,Ma-ao,33,Male,Underemployed,College Undergraduate,Masonry,Manufacturing,Construction,Masonry NC II
3,Tabunan,45,Male,Wage Employed,Senior High,Driving,Retail,Transportation,Driving NC II
5,Mailum,38,Male,Wage Employed,College Undergraduate,Carpentry,Construction,Construction,Carpentry NC II
7,Lag-asan,28,Male,Unemployed,Senior High,Carpentry,Agriculture,Construction,Carpentry NC II
1,Dulao,43,Female,Underemployed,Senior High,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
7,Sagasa,28,Female,Self-employed,Junior High,Cooking,None,Business,Cookery NC II
7,Poblacion,31,Male,Underemployed,Senior High,Carpentry,Agriculture,Construction,Carpentry NC II
12,Poblacion,26,Male,Self-employed,Senior High,Welding,Manufacturing,Business,Shielded Metal Arc Welding NC I
7,Busay,36,Male,Underemployed,College Undergraduate,Electrical Repair,None,Business,Electrical Installation and Maintenance NC II
6,Balingasag,18,Male,Self-employed,Junior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
1,Bagroy,39,Male,Wage Employed,Senior High,Driving,Transportation,Transportation,Driving NC II
10,Taloc,40,Male,Underemployed,Junior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
12,Mailum,34,Male,Unemployed,Senior High,Masonry,Construction,Construction,Masonry NC II
11,Alianza,18,Male,Self-employed,Senior High,Carpentry,Business,Agriculture,Carpentry NC II
9,Busay,25,Female,Self-employed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
5,Abuanan,28,Male,Wage Employed,Junior High,Cooking,Business,Construction,Cookery NC II
5,Poblacion,26,Male,Unemployed,College Undergraduate,Electrical Repair,Manufacturing,Construction,Electrical Installation and Maintenance NC II
6,Ma-ao,47,Male,Unemployed,College Undergraduate,Masonry,Construction,Construction,Masonry NC II
1,Ma-ao,41,Male,Self-employed,College Undergraduate,Cooking,None,Agriculture,Cookery NC II
3,Poblacion,24,Female,Unemployed,Elementary Graduate,Cooking,Hospitality,Hospitality,Cookery NC II
3,Atipuluan,41,Male,Unemployed,Senior High,Carpentry,Government,Business,Carpentry NC II
11,Balingasag,29,Female,Underemployed,College Undergraduate,Cooking,Business,Business,Cookery NC II
1,Ma-ao,46,Male,Underemployed,College Undergraduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
5,Pacol,24,Male,Underemployed,Junior High,Driving,Government,Transportation,Driving NC II
5,Bacong,39,Male,Underemployed,Senior High,Carpentry,Manufacturing,Construction,Carpentry NC II
6,Atipuluan,55,Male,Self-employed,College Graduate,Masonry,Manufacturing,ICT,Masonry NC II
6,Mailum,42,Male,Underemployed,College Undergraduate,Carpentry,Retail,Construction,Carpentry NC II
5,Caridad,37,Female,Self-employed,College Undergraduate,Cooking,Hospitality,Hospitality,Cookery NC II
9,Busay,42,Male,Self-employed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
3,Caridad,38,Male,Wage Employed,Senior High,Electrical Repair,Hospitality,Construction,Electrical Installation and Maintenance NC II
1,Malingin,38,Male,Self-employed,College Undergraduate,Driving,Agriculture,Transportation,Driving NC II
7,Bacong,26,Female,Underemployed,Junior High,Carpentry,Business,Construction,Carpentry NC II
12,Busay,18,Male,Unemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
2,Calumangan,44,Male,Underemployed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
6,Busay,23,Female,Unemployed,Junior High,Cooking,Business,Hospitality,Cookery NC II
7,Pacol,39,Male,Wage Employed,Senior High,Carpentry,Government,Construction,Carpentry NC II
2,Atipuluan,43,Male,Wage Employed,College Undergraduate,Driving,Transportation,Transportation,Driving NC II
4,Ma-ao,32,Female,Unemployed,Junior High,Carpentry,Agriculture,Construction,Carpentry NC II
9,Ilijan,18,Female,Underemployed,Elementary Graduate,Electrical Repair,Manufacturing,Business,Electrical Installation and Maintenance NC II
10,Balingasag,39,Male,Wage Employed,Senior High,Cooking,Construction,Hospitality,Cookery NC II
10,Pacol,38,Female,Underemployed,Junior High,Driving,Agriculture,Transportation,Driving NC II
9,Napoles,26,Female,Unemployed,Elementary Graduate,Electrical Repair,Construction,Construction,Electrical Installation and Maintenance NC II
11,Busay,31,Male,Self-employed,Senior High,Carpentry,Construction,Construction,Carpentry NC II
5,Dulao,34,Male,Self-employed,Senior High,Driving,Retail,Transportation,Driving NC II
7,Busay,43,Male,Self-employed,College Graduate,Masonry,Construction,Construction,Masonry NC II
7,Taloc,31,Female,Unemployed,Junior High,Driving,Agriculture,Business,Driving NC II
11,Mailum,44,Female,Wage Employed,College Undergraduate,Cooking,Agriculture,Business,Cookery NC II
9,Atipuluan,19,Male,Self-employed,Senior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
6,Tabunan,28,Male,Self-employed,Senior High,Masonry,Agriculture,Business,Masonry NC II
12,Atipuluan,39,Female,Unemployed,Junior High,Baking,Business,Business,Bread and Pastry NC II
2,Ma-ao,25,Female,Underemployed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
6,Bacong,31,Male,Wage Employed,Junior High,Carpentry,Construction,Construction,Carpentry NC II
9,Balingasag,31,Female,Self-employed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
8,Bagroy,31,Male,Self-employed,Elementary Graduate,Masonry,Agriculture,Agriculture,Masonry NC II
8,Napoles,43,Female,Underemployed,Senior High,Cooking,Business,Hospitality,Cookery NC II
1,Ma-ao,37,Male,Unemployed,College Undergraduate,Cooking,Hospitality,Construction,Cookery NC II
8,Abuanan,55,Male,Wage Employed,College Graduate,Driving,Agriculture,Transportation,Driving NC II
6,Dulao,22,Male,Wage Employed,Senior High,Driving,Transportation,Transportation,Driving NC II
7,Bacong,23,Male,Self-employed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
7,Busay,30,Female,Unemployed,Senior High,Cooking,Agriculture,Hospitality,Cookery NC II
11,Tabunan,18,Male,Underemployed,Senior High,Driving,Transportation,Transportation,Driving NC II
10,Sagasa,34,Male,Underemployed,Senior High,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
6,Ma-ao,29,Male,Unemployed,Elementary Graduate,Carpentry,Construction,Construction,Carpentry NC II
11,Bagroy,35,Male,Self-employed,College Undergraduate,Computer Literacy,None,ICT,Computer Systems Servicing NC II
6,Ilijan,20,Male,Unemployed,Junior High,Electrical Repair,Construction,Construction,Electrical Installation and Maintenance NC II
8,Busay,45,Male,Wage Employed,College Graduate,Cooking,Hospitality,Hospitality,Cookery NC II
1,Poblacion,24,Male,Unemployed,College Graduate,Masonry,Business,Construction,Masonry NC II
11,Taloc,45,Male,Unemployed,College Undergraduate,Electrical Repair,Manufacturing,Construction,Electrical Installation and Maintenance NC II
12,Ilijan,45,Male,Self-employed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
4,Pacol,37,Male,Unemployed,College Undergraduate,Welding,Construction,Transportation,Shielded Metal Arc Welding NC I
12,Ilijan,26,Male,Self-employed,Senior High,Masonry,Construction,Agriculture,Masonry NC II
7,Taloc,32,Male,Wage Employed,Senior High,Carpentry,Business,Construction,Carpentry NC II
7,Poblacion,33,Male,Self-employed,College Graduate,Computer Literacy,Manufacturing,ICT,Computer Systems Servicing NC II
4,Sagasa,23,Male,Self-employed,College Graduate,Driving,Hospitality,Transportation,Driving NC II
11,Malingin,45,Male,Underemployed,Senior High,Welding,Agriculture,Construction,Shielded Metal Arc Welding NC I
12,Dulao,19,Male,Underemployed,Junior High,Driving,Construction,Transportation,Driving NC II
6,Balingasag,32,Female,Underemployed,College Undergraduate,Cooking,Agriculture,Hospitality,Cookery NC II
12,Caridad,45,Male,Underemployed,Senior High,Masonry,None,Construction,Masonry NC II
12,Sagasa,29,Male,Unemployed,Junior High,Carpentry,Manufacturing,Construction,Carpentry NC II
10,Caridad,27,Male,Underemployed,Junior High,Driving,Transportation,Transportation,Driving NC II
2,Poblacion,42,Male,Underemployed,Junior High,Carpentry,Government,Construction,Carpentry NC II
6,Bagroy,36,Male,Underemployed,Junior High,Carpentry,Retail,Construction,Carpentry NC II
3,Poblacion,31,Male,Unemployed,Senior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
4,Mailum,35,Male,Underemployed,Senior High,Driving,Agriculture,Transportation,Driving NC II
4,Abuanan,34,Male,Wage Employed,Junior High,Masonry,Construction,Construction,Masonry NC II
10,Poblacion,41,Male,Unemployed,College Undergraduate,Driving,Retail,Transportation,Driving NC II
10,Calumangan,40,Female,Unemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
10,Bagroy,32,Male,Wage Employed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
10,Busay,42,Male,Self-employed,College Graduate,Carpentry,Construction,Agriculture,Carpentry NC II
10,Busay,33,Male,Underemployed,Elementary Graduate,Driving,Retail,Transportation,Driving NC II
11,Bagroy,37,Male,Underemployed,Elementary Graduate,Cooking,Hospitality,Hospitality,Cookery NC II
6,Busay,41,Male,Unemployed,College Undergraduate,Carpentry,Retail,Construction,Carpentry NC II
3,Abuanan,26,Female,Unemployed,Junior High,Cooking,Agriculture,Hospitality,Cookery NC II
4,Pacol,19,Male,Wage Employed,College Undergraduate,Computer Literacy,None,ICT,Computer Systems Servicing NC II
4,Caridad,39,Female,Unemployed,Elementary Graduate,Baking,Business,Business,Bread and Pastry NC II
3,Balingasag,26,Male,Unemployed,Junior High,Carpentry,Government,Agriculture,Carpentry NC II
4,Busay,34,Male,Wage Employed,Senior High,Masonry,Construction,Agriculture,Masonry NC II
9,Sagasa,43,Female,Unemployed,College Graduate,Masonry,Construction,Construction,Masonry NC II
2,Poblacion,27,Male,Self-employed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
12,Calumangan,20,Female,Underemployed,Senior High,Baking,Retail,Business,Bread and Pastry NC II
1,Busay,44,Male,Wage Employed,Senior High,Driving,Agriculture,Transportation,Driving NC II
3,Pacol,25,Female,Unemployed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
2,Mailum,31,Male,Underemployed,Senior High,Driving,Transportation,Transportation,Driving NC II
9,Calumangan,28,Male,Unemployed,Elementary Graduate,Baking,None,Hospitality,Bread and Pastry NC II
7,Bagroy,47,Female,Unemployed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
1,Dulao,26,Female,Self-employed,Senior High,Baking,Transportation,Hospitality,Bread and Pastry NC II
7,Caridad,53,Female,Self-employed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
1,Malingin,29,Male,Self-employed,College Undergraduate,Carpentry,Government,Agriculture,Carpentry NC II
8,Busay,46,Male,Wage Employed,College Undergraduate,Carpentry,Construction,Construction,Carpentry NC II
7,Taloc,40,Male,Underemployed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
7,Bagroy,24,Female,Unemployed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
8,Binubuhan,24,Male,Unemployed,College Graduate,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
5,Busay,23,Female,Underemployed,Elementary Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
11,Ma-ao,31,Male,Unemployed,Junior High,Baking,Business,Agriculture,Bread and Pastry NC II
10,Dulao,19,Male,Unemployed,Junior High,Carpentry,Retail,Construction,Carpentry NC II
1,Bagroy,28,Female,Unemployed,Senior High,Cooking,Agriculture,Hospitality,Cookery NC II
6,Ilijan,48,Male,Wage Employed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
8,Busay,42,Female,Underemployed,College Undergraduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
11,Taloc,20,Female,Underemployed,College Undergraduate,Welding,Manufacturing,Construction,Shielded Metal Arc Welding NC I
5,Taloc,42,Male,Wage Employed,College Undergraduate,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
4,Ilijan,36,Male,Self-employed,Senior High,Carpentry,Business,Construction,Carpentry NC II
10,Pacol,25,Female,Underemployed,Junior High,Baking,Hospitality,Agriculture,Bread and Pastry NC II
3,Taloc,45,Male,Self-employed,College Graduate,Welding,Manufacturing,Agriculture,Shielded Metal Arc Welding NC I
4,Poblacion,27,Female,Unemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
12,Binubuhan,24,Male,Underemployed,Senior High,Masonry,Construction,Construction,Masonry NC II
6,Bacong,18,Male,Unemployed,Elementary Graduate,Carpentry,Construction,Construction,Carpentry NC II
12,Pacol,36,Male,Underemployed,College Graduate,Carpentry,Agriculture,Construction,Carpentry NC II
8,Tabunan,37,Male,Wage Employed,College Undergraduate,Driving,Transportation,Transportation,Driving NC II
10,Ma-ao,37,Male,Underemployed,Junior High,Driving,Transportation,Transportation,Driving NC II
11,Poblacion,37,Male,Unemployed,Junior High,Driving,Transportation,Transportation,Driving NC II
11,Tabunan,28,Male,Unemployed,Senior High,Driving,Business,Transportation,Driving NC II
6,Bacong,42,Male,Self-employed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
8,Caridad,32,Male,Self-employed,College Undergraduate,Driving,Government,Transportation,Driving NC II
4,Napoles,37,Female,Unemployed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
10,Lag-asan,32,Male,Underemployed,Junior High,Carpentry,Business,Construction,Carpentry NC II
1,Calumangan,41,Male,Unemployed,Junior High,Driving,Government,Business,Driving NC II
5,Tabunan,40,Male,Underemployed,College Undergraduate,Computer Literacy,ICT,Business,Computer Systems Servicing NC II
8,Busay,23,Female,Unemployed,College Undergraduate,Computer Literacy,Hospitality,ICT,Computer Systems Servicing NC II
12,Poblacion,25,Female,Underemployed,Elementary Graduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
11,Binubuhan,37,Female,Underemployed,Junior High,Electrical Repair,Construction,Construction,Electrical Installation and Maintenance NC II
7,Bacong,41,Female,Underemployed,Junior High,Baking,Hospitality,Agriculture,Bread and Pastry NC II
2,Bacong,32,Male,Self-employed,College Undergraduate,Electrical Repair,Manufacturing,Construction,Electrical Installation and Maintenance NC II
4,Calumangan,45,Male,Self-employed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
3,Balingasag,43,Female,Wage Employed,Senior High,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
8,Abuanan,18,Male,Wage Employed,Senior High,Masonry,Agriculture,Construction,Masonry NC II
8,Poblacion,26,Female,Wage Employed,Senior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
10,Busay,44,Male,Underemployed,Senior High,Driving,Business,Transportation,Driving NC II
12,Lag-asan,30,Female,Unemployed,Junior High,Baking,Retail,Hospitality,Bread and Pastry NC II
6,Ma-ao,35,Male,Wage Employed,College Graduate,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
12,Sagasa,48,Female,Underemployed,College Undergraduate,Computer Literacy,Transportation,ICT,Computer Systems Servicing NC II
8,Malingin,22,Male,Self-employed,Junior High,Welding,Business,Construction,Shielded Metal Arc Welding NC I
9,Poblacion,19,Male,Underemployed,Senior High,Driving,Transportation,Transportation,Driving NC II
9,Tabunan,33,Male,Self-employed,Junior High,Electrical Repair,Manufacturing,Construction,Electrical Installation and Maintenance NC II
6,Poblacion,32,Male,Underemployed,Senior High,Driving,Agriculture,Transportation,Driving NC II
3,Bagroy,36,Female,Unemployed,Junior High,Cooking,Business,Hospitality,Cookery NC II
5,Poblacion,18,Male,Unemployed,Junior High,Cooking,Agriculture,Hospitality,Cookery NC II
5,Ilijan,25,Male,Underemployed,Senior High,Masonry,Construction,Agriculture,Masonry NC II
4,Dulao,41,Female,Wage Employed,Senior High,Baking,Retail,Hospitality,Bread and Pastry NC II
4,Ma-ao,20,Female,Unemployed,Junior High,Carpentry,Business,Construction,Carpentry NC II
6,Busay,19,Male,Wage Employed,Senior High,Driving,Agriculture,Transportation,Driving NC II
8,Bagroy,43,Female,Self-employed,Senior High,Cooking,Hospitality,Agriculture,Cookery NC II
4,Balingasag,51,Male,Wage Employed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
10,Pacol,34,Male,Self-employed,Senior High,Cooking,Agriculture,Hospitality,Cookery NC II
7,Malingin,38,Male,Underemployed,Senior High,Masonry,Construction,Hospitality,Masonry NC II
1,Calumangan,34,Male,Underemployed,College Undergraduate,Welding,None,Agriculture,Shielded Metal Arc Welding NC I
3,Balingasag,39,Female,Wage Employed,College Graduate,Cooking,Retail,Hospitality,Cookery NC II
10,Taloc,39,Male,Self-employed,Senior High,Carpentry,Retail,Construction,Carpentry NC II
2,Sagasa,36,Male,Self-employed,College Undergraduate,Cooking,Retail,Hospitality,Cookery NC II
10,Dulao,22,Male,Self-employed,Senior High,Computer Literacy,Transportation,ICT,Computer Systems Servicing NC II
7,Lag-asan,34,Female,Wage Employed,College Graduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
8,Ma-ao,18,Male,Wage Employed,Senior High,Electrical Repair,Manufacturing,ICT,Electrical Installation and Maintenance NC II
8,Sagasa,28,Male,Self-employed,College Graduate,Driving,Retail,Transportation,Driving NC II
4,Busay,19,Male,Unemployed,Junior High,Masonry,Construction,Construction,Masonry NC II
4,Busay,30,Male,Underemployed,Elementary Graduate,Driving,Business,Transportation,Driving NC II
12,Mailum,33,Male,Unemployed,College Undergraduate,Welding,Manufacturing,Agriculture,Shielded Metal Arc Welding NC I
7,Poblacion,43,Female,Wage Employed,College Undergraduate,Cooking,Agriculture,Business,Cookery NC II
3,Atipuluan,29,Male,Wage Employed,College Undergraduate,Driving,Transportation,Transportation,Driving NC II
1,Dulao,26,Female,Wage Employed,Junior High,Electrical Repair,Construction,Construction,Electrical Installation and Maintenance NC II
10,Tabunan,44,Male,Underemployed,College Undergraduate,Cooking,Construction,Hospitality,Cookery NC II
8,Calumangan,28,Male,Wage Employed,Elementary Graduate,Driving,Hospitality,Business,Driving NC II
3,Malingin,36,Female,Underemployed,Junior High,Cooking,None,Hospitality,Cookery NC II
4,Alianza,35,Male,Underemployed,Elementary Graduate,Driving,Agriculture,Transportation,Driving NC II
10,Lag-asan,34,Female,Underemployed,Senior High,Cooking,Hospitality,Agriculture,Cookery NC II
5,Caridad,19,Female,Underemployed,Senior High,Cooking,Government,Hospitality,Cookery NC II
8,Caridad,28,Female,Underemployed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
12,Poblacion,26,Male,Unemployed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
11,Sagasa,27,Female,Underemployed,College Undergraduate,Cooking,Agriculture,Hospitality,Cookery NC II
10,Balingasag,39,Female,Self-employed,College Undergraduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
5,Malingin,24,Male,Wage Employed,Senior High,Masonry,Manufacturing,Construction,Masonry NC II
7,Mailum,26,Female,Self-employed,Junior High,Baking,Business,Hospitality,Bread and Pastry NC II
11,Taloc,29,Male,Underemployed,Elementary Graduate,Carpentry,Agriculture,Construction,Carpentry NC II
12,Ilijan,24,Female,Unemployed,College Graduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
10,Lag-asan,37,Female,Self-employed,College Undergraduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
10,Ma-ao,29,Male,Wage Employed,Senior High,Cooking,Retail,Hospitality,Cookery NC II
4,Ma-ao,24,Female,Unemployed,Senior High,Carpentry,Manufacturing,Construction,Carpentry NC II
5,Sagasa,23,Male,Wage Employed,College Graduate,Carpentry,Construction,Hospitality,Carpentry NC II
7,Binubuhan,33,Female,Unemployed,Senior High,Baking,Business,Hospitality,Bread and Pastry NC II
11,Taloc,24,Male,Self-employed,Elementary Graduate,Baking,Retail,Hospitality,Bread and Pastry NC II
12,Malingin,35,Male,Self-employed,Senior High,Masonry,Construction,Construction,Masonry NC II
12,Bacong,37,Male,Underemployed,Elementary Graduate,Driving,Transportation,Agriculture,Driving NC II
2,Calumangan,40,Male,Self-employed,College Graduate,Carpentry,Agriculture,Construction,Carpentry NC II
2,Poblacion,30,Male,Underemployed,College Graduate,Driving,Transportation,Transportation,Driving NC II
6,Bacong,40,Male,Self-employed,College Undergraduate,Electrical Repair,Retail,Construction,Electrical Installation and Maintenance NC II
6,Bacong,31,Female,Self-employed,Senior High,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
5,Lag-asan,30,Female,Self-employed,Senior High,Cooking,Agriculture,Agriculture,Cookery NC II
4,Lag-asan,24,Male,Self-employed,College Undergraduate,Carpentry,Hospitality,Construction,Carpentry NC II
10,Taloc,35,Male,Unemployed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
6,Binubuhan,33,Female,Underemployed,Senior High,Cooking,Retail,Hospitality,Cookery NC II
4,Calumangan,29,Male,Unemployed,Senior High,Carpentry,Business,Construction,Carpentry NC II
12,Poblacion,40,Female,Underemployed,College Undergraduate,Cooking,Agriculture,Business,Cookery NC II
8,Dulao,25,Male,Unemployed,Junior High,Welding,Manufacturing,Construction,Shielded Metal Arc Welding NC I
10,Poblacion,40,Female,Underemployed,Senior High,Carpentry,Retail,Construction,Carpentry NC II
3,Taloc,47,Male,Wage Employed,College Graduate,Welding,Manufacturing,Construction,Shielded Metal Arc Welding NC I
5,Calumangan,42,Male,Self-employed,College Graduate,Cooking,Hospitality,Agriculture,Cookery NC II
12,Malingin,36,Male,Underemployed,Elementary Graduate,Carpentry,Construction,Construction,Carpentry NC II
8,Tabunan,34,Male,Unemployed,Elementary Graduate,Welding,Hospitality,Construction,Shielded Metal Arc Welding NC I
3,Balingasag,36,Female,Unemployed,Junior High,Computer Literacy,Government,Business,Computer Systems Servicing NC II
11,Taloc,33,Male,Underemployed,Junior High,Carpentry,Agriculture,Agriculture,Carpentry NC II
2,Lag-asan,43,Male,Wage Employed,College Undergraduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
8,Poblacion,34,Male,Underemployed,Senior High,Masonry,Agriculture,Construction,Masonry NC II
4,Binubuhan,38,Female,Underemployed,Senior High,Carpentry,Agriculture,Construction,Carpentry NC II
5,Bacong,23,Female,Wage Employed,Junior High,Driving,Transportation,Transportation,Driving NC II
1,Busay,26,Male,Unemployed,Senior High,Masonry,Agriculture,Construction,Masonry NC II
11,Busay,41,Male,Unemployed,Junior High,Carpentry,Construction,Transportation,Carpentry NC II
11,Ma-ao,22,Male,Underemployed,Elementary Graduate,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
8,Abuanan,33,Female,Underemployed,Elementary Graduate,Baking,Retail,Business,Bread and Pastry NC II
9,Busay,18,Male,Underemployed,Junior High,Driving,Transportation,Transportation,Driving NC II
7,Bagroy,31,Male,Self-employed,Senior High,Masonry,Agriculture,Construction,Masonry NC II
12,Taloc,28,Male,Wage Employed,College Undergraduate,Cooking,Retail,Hospitality,Cookery NC II
2,Caridad,26,Female,Unemployed,Elementary Graduate,Carpentry,Retail,Construction,Carpentry NC II
12,Pacol,23,Female,Underemployed,Elementary Graduate,Computer Literacy,Hospitality,ICT,Computer Systems Servicing NC II
11,Poblacion,18,Male,Underemployed,Senior High,Driving,Transportation,Business,Driving NC II
11,Balingasag,20,Male,Underemployed,College Undergraduate,Cooking,Business,Hospitality,Cookery NC II
8,Balingasag,23,Male,Self-employed,College Undergraduate,Carpentry,Construction,ICT,Carpentry NC II
6,Ilijan,19,Male,Unemployed,College Undergraduate,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
1,Atipuluan,38,Male,Self-employed,Elementary Graduate,Baking,Construction,Hospitality,Bread and Pastry NC II
4,Abuanan,22,Female,Self-employed,College Undergraduate,Cooking,Retail,Construction,Cookery NC II
8,Pacol,38,Female,Self-employed,Senior High,Baking,Hospitality,Business,Bread and Pastry NC II
2,Poblacion,25,Male,Self-employed,College Undergraduate,Cooking,Agriculture,Hospitality,Cookery NC II
3,Lag-asan,50,Male,Unemployed,College Graduate,Computer Literacy,Agriculture,ICT,Computer Systems Servicing NC II
3,Mailum,34,Male,Self-employed,College Graduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
6,Napoles,21,Male,Self-employed,College Undergraduate,Electrical Repair,Manufacturing,Construction,Electrical Installation and Maintenance NC II
12,Taloc,34,Male,Unemployed,Senior High,Carpentry,Construction,Construction,Carpentry NC II
3,Caridad,32,Male,Self-employed,Senior High,Masonry,Construction,Transportation,Masonry NC II
5,Poblacion,18,Male,Underemployed,Senior High,Computer Literacy,None,ICT,Computer Systems Servicing NC II
11,Atipuluan,26,Male,Underemployed,College Graduate,Driving,Hospitality,Transportation,Driving NC II
8,Binubuhan,19,Female,Underemployed,Junior High,Cooking,Agriculture,Construction,Cookery NC II
12,Busay,19,Female,Underemployed,Senior High,Cooking,Retail,Hospitality,Cookery NC II
4,Ma-ao,19,Male,Unemployed,Junior High,Driving,Government,Transportation,Driving NC II
3,Calumangan,18,Male,Unemployed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
6,Busay,21,Male,Self-employed,College Undergraduate,Carpentry,Construction,Construction,Carpentry NC II
1,Mailum,26,Female,Underemployed,Junior High,Driving,Government,Transportation,Driving NC II
12,Caridad,40,Male,Unemployed,Senior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
5,Ma-ao,36,Female,Self-employed,Junior High,Cooking,Agriculture,Hospitality,Cookery NC II
8,Binubuhan,38,Male,Self-employed,College Graduate,Carpentry,Agriculture,Construction,Carpentry NC II
9,Lag-asan,38,Male,Underemployed,Junior High,Driving,Transportation,Agriculture,Driving NC II
5,Bagroy,46,Female,Wage Employed,College Graduate,Driving,Transportation,Business,Driving NC II
4,Mailum,27,Female,Self-employed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
3,Poblacion,31,Male,Wage Employed,Senior High,Driving,Retail,Transportation,Driving NC II
1,Binubuhan,46,Male,Self-employed,College Undergraduate,Computer Literacy,Transportation,ICT,Computer Systems Servicing NC II
9,Sagasa,31,Female,Wage Employed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
3,Sagasa,38,Female,Self-employed,Junior High,Driving,Agriculture,Transportation,Driving NC II
3,Napoles,44,Female,Underemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
5,Bagroy,27,Male,Unemployed,College Undergraduate,Electrical Repair,Manufacturing,ICT,Electrical Installation and Maintenance NC II
11,Ilijan,48,Female,Self-employed,College Undergraduate,Computer Literacy,Business,Business,Computer Systems Servicing NC II
10,Dulao,44,Female,Wage Employed,College Undergraduate,Cooking,Retail,ICT,Cookery NC II
7,Bacong,20,Male,Underemployed,Senior High,Carpentry,Construction,Construction,Carpentry NC II
7,Abuanan,19,Male,Unemployed,Junior High,Baking,None,Hospitality,Bread and Pastry NC II
2,Poblacion,37,Female,Wage Employed,Junior High,Cooking,Business,Transportation,Cookery NC II
6,Tabunan,29,Female,Unemployed,Elementary Graduate,Computer Literacy,Transportation,ICT,Computer Systems Servicing NC II
9,Taloc,31,Female,Unemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
7,Caridad,20,Female,Unemployed,Senior High,Cooking,None,Hospitality,Cookery NC II
4,Mailum,41,Male,Wage Employed,College Graduate,Driving,Retail,Agriculture,Driving NC II
8,Ma-ao,28,Male,Underemployed,Junior High,Carpentry,Manufacturing,Construction,Carpentry NC II
