barangay,course_applied,age,sex,educational_attainment,employment_status,current_skill,desired_career,learner_classification,training_outcome
Malingin,Driving NC II,23,Male,Senior High,Self-employed,Driving,Transportation,Experienced Worker,Graduate
Caridad,Electronic Products Assembly and Servicing NC II,20,Male,Junior High,Underemployed,Electronics,Manufacturing,Career Shifter,Dropout
Ma-ao,Trainers Methodology Level I,44,Female,College Undergraduate,Wage Employed,Training Delivery,Education,Experienced Worker,Graduate
Bacong,Organic Agriculture Production NC II,43,Male,College Graduate,Wage Employed,Painting,Construction,New Entrant,Graduate
Binubuhan,Machining NC II,20,Female,Junior High,Unemployed,Machining,Manufacturing,Returning Learner,Dropout
Ilijan,Carpentry NC II,34,Female,Senior High,Underemployed,Carpentry,Construction,Experienced Worker,Dropout
Pacol,Shielded Metal Arc Welding NC II,21,Male,Senior High,Unemployed,Welding,Construction,New Entrant,Dropout
Busay,Organic Agriculture Production NC II,42,Female,Senior High,Wage Employed,Organic Farming,Agriculture,Experienced Worker,Dropout
Ilijan,Driving NC II,45,Male,Senior High,Self-employed,Carpentry,Construction,Career Shifter,Graduate
Abuanan,Cookery NC II,48,Female,College Undergraduate,Self-employed,Cooking,Hospitality,Experienced Worker,Graduate
Bacong,Electronic Products Assembly and Servicing NC II,20,Male,College Undergraduate,Underemployed,Electronics,Manufacturing,New Entrant,Graduate
Pacol,Masonry NC I,47,Male,College Graduate,Self-employed,Masonry,Construction,Experienced Worker,Graduate
Caridad,Computer Systems Servicing NC II,33,Male,Senior High,Underemployed,Computer Literacy,ICT,New Entrant,Dropout
Bagroy,Computer Systems Servicing NC II,39,Female,Senior High,Self-employed,Computer Literacy,Education,New Entrant,Graduate
Bacong,HEO (Hydraulic Excavator) NC II,53,Male,College Graduate,Self-employed,Heavy Equipment Operation,Construction,New Entrant,Graduate
Dulao,Bookkeeping NC II,33,Female,Junior High,Unemployed,Bookkeeping,Business,New Entrant,Dropout
Alianza,HEO (Forklift) NC II,31,Male,College Undergraduate,Self-employed,Heavy Equipment Operation,Construction,Experienced Worker,Dropout
Taloc,Shielded Metal Arc Welding NC I,26,Male,College Undergraduate,Underemployed,Welding,Education,Returning Learner,Graduate
Alianza,Organic Agriculture Production NC II,27,Female,Junior High,Unemployed,Bookkeeping,ICT,Career Shifter,Graduate
Bacong,HEO (Hydraulic Excavator) NC II,32,Female,Senior High,Unemployed,Machining,Construction,Career Shifter,Dropout
Calumangan,Cookery NC II,40,Female,Junior High,Underemployed,Cooking,Hospitality,New Entrant,Graduate
Bacong,Driving NC II,18,Female,Junior High,Underemployed,Driving,Transportation,Experienced Worker,Dropout
Mailum,Machining NC I,42,Male,Senior High,Self-employed,Driving,Transportation,New Entrant,Graduate
Binubuhan,HEO (Wheel Loader) NC II,23,Male,Senior High,Underemployed,Heavy Equipment Operation,Construction,Career Shifter,Graduate
Tabunan,Shielded Metal Arc Welding NC II,22,Male,Senior High,Underemployed,Welding,Construction,New Entrant,Graduate
Dulao,Bookkeeping NC II,28,Male,Elementary Graduate,Unemployed,Machining,Manufacturing,Experienced Worker,Graduate
Ma-ao,Computer Systems Servicing NC II,31,Male,Elementary Graduate,Unemployed,Computer Literacy,Manufacturing,Career Shifter,Dropout
Abuanan,Bread and Pastry NC II,47,Female,College Graduate,Underemployed,Baking,Hospitality,New Entrant,Dropout
Mailum,Electrical Installation and Maintenance NC II,20,Male,Junior High,Wage Employed,Electrical Repair,Construction,Experienced Worker,Graduate
Busay,Shielded Metal Arc Welding NC II,22,Male,Senior High,Unemployed,Welding,Construction,Returning Learner,Graduate
Ma-ao,Trainers Methodology Level I,35,Female,College Graduate,Underemployed,Training Delivery,Education,New Entrant,Graduate
Pacol,Electronic Products Assembly and Servicing NC II,24,Female,Senior High,Unemployed,Electronics,Manufacturing,Returning Learner,Dropout
Sagasa,Trainers Methodology Level I,25,Male,Senior High,Wage Employed,Training Delivery,Education,Returning Learner,Graduate
Ma-ao,Landscape Installation and Maintenance (Softscape),34,Female,Junior High,Unemployed,Landscaping,Agriculture,New Entrant,Graduate
Napoles,Masonry NC II,19,Male,Junior High,Underemployed,Masonry,Construction,Career Shifter,Graduate
Mailum,Masonry NC I,22,Male,Elementary Graduate,Underemployed,Welding,Construction,Career Shifter,Graduate
Lag-asan,Cookery NC II,26,Female,Junior High,Unemployed,Cooking,Hospitality,New Entrant,Graduate
Dulao,Electrical Installation and Maintenance NC II,21,Female,Senior High,Unemployed,Electrical Repair,Construction,New Entrant,Dropout
Caridad,Bread and Pastry NC II,39,Female,Elementary Graduate,Underemployed,Baking,Hospitality,New Entrant,Dropout
Calumangan,Shielded Metal Arc Welding NC I,32,Male,Junior High,Unemployed,Welding,Construction,New Entrant,Graduate
Binubuhan,Electronic Products Assembly and Servicing NC II,44,Male,College Undergraduate,Unemployed,Electronics,Manufacturing,Returning Learner,Graduate
Binubuhan,Computer Systems Servicing NC II,45,Male,College Graduate,Self-employed,Computer Literacy,ICT,Returning Learner,Graduate
Ilijan,Bread and Pastry NC II,23,Male,Junior High,Self-employed,Baking,Hospitality,Experienced Worker,Graduate
Dulao,Bookkeeping NC II,42,Male,College Undergraduate,Self-employed,Driving,Transportation,Career Shifter,Dropout
Balingasag,Bookkeeping NC II,48,Female,College Undergraduate,Unemployed,Bookkeeping,Business,New Entrant,Graduate
Atipuluan,Shielded Metal Arc Welding NC II,48,Male,College Undergraduate,Underemployed,Welding,Construction,Career Shifter,Graduate
Mailum,Bookkeeping NC II,33,Female,Junior High,Unemployed,Bookkeeping,Business,Returning Learner,Dropout
Calumangan,Bookkeeping NC II,21,Female,Elementary Graduate,Unemployed,Bookkeeping,Business,New Entrant,Dropout
Poblacion,Trainers Methodology Level I,33,Female,College Graduate,Self-employed,Training Delivery,Education,New Entrant,Graduate
Bagroy,Computer Systems Servicing NC II,26,Male,Junior High,Unemployed,Computer Literacy,ICT,New Entrant,Graduate
Alianza,Landscape Installation and Maintenance (Softscape),24,Male,College Undergraduate,Unemployed,Landscaping,Education,Experienced Worker,Dropout
Calumangan,Organic Agriculture Production NC II,24,Female,Junior High,Wage Employed,Organic Farming,Agriculture,Experienced Worker,Graduate
Ma-ao,Carpentry NC II,20,Male,Senior High,Unemployed,Painting,Construction,Returning Learner,Dropout
Ilijan,Organic Agriculture Production NC II,25,Female,Elementary Graduate,Self-employed,Organic Farming,Agriculture,Experienced Worker,Graduate
Binubuhan,Electronic Products Assembly and Servicing NC II,24,Male,Junior High,Unemployed,Electronics,Manufacturing,Returning Learner,Dropout
Pacol,Masonry NC II,43,Male,Senior High,Wage Employed,Bookkeeping,Business,Experienced Worker,Graduate
Sagasa,Trainers Methodology Level I,26,Female,College Undergraduate,Self-employed,Training Delivery,Education,Returning Learner,Graduate
Napoles,Bread and Pastry NC II,33,Male,Senior High,Self-employed,Baking,Hospitality,Returning Learner,Graduate
Ma-ao,Carpentry NC II,37,Male,Junior High,Underemployed,Carpentry,Construction,New Entrant,Dropout
Abuanan,Trainers Methodology Level I,34,Female,College Graduate,Wage Employed,Training Delivery,Education,Returning Learner,Dropout
Bacong,Driving NC II,26,Male,Elementary Graduate,Unemployed,Heavy Equipment Operation,Construction,Career Shifter,Dropout
Atipuluan,Machining NC II,37,Male,Senior High,Underemployed,Machining,Manufacturing,Experienced Worker,Dropout
Poblacion,Bookkeeping NC II,44,Female,College Graduate,Unemployed,Bookkeeping,Business,Career Shifter,Graduate
Tabunan,HEO (Bulldozer) NC II,33,Female,Junior High,Unemployed,Heavy Equipment Operation,Hospitality,Experienced Worker,Graduate
Alianza,Computer Systems Servicing NC II,37,Male,College Graduate,Self-employed,Computer Literacy,ICT,Experienced Worker,Graduate
Bagroy,Electrical Installation and Maintenance NC II,21,Male,Junior High,Underemployed,Electrical Repair,Hospitality,Career Shifter,Graduate
Balingasag,HEO (Forklift) NC II,39,Male,Senior High,Wage Employed,Heavy Equipment Operation,Construction,Experienced Worker,Dropout
Balingasag,Construction Painting NC II,38,Male,Elementary Graduate,Self-employed,Painting,Construction,Returning Learner,Graduate
Atipuluan,Organic Agriculture Production NC II,39,Male,Junior High,Underemployed,Organic Farming,Agriculture,Career Shifter,Dropout
Tabunan,Machining NC I,29,Male,College Undergraduate,Self-employed,Bookkeeping,Business,Returning Learner,Graduate
Ilijan,Masonry NC I,43,Male,Senior High,Unemployed,Masonry,Construction,New Entrant,Graduate
Bagroy,Trainers Methodology Level I,27,Female,College Undergraduate,Self-employed,Training Delivery,Education,Experienced Worker,Dropout
Taloc,Organic Agriculture Production NC II,39,Female,Elementary Graduate,Unemployed,Organic Farming,Agriculture,New Entrant,Graduate
Binubuhan,Landscape Installation and Maintenance (Softscape),31,Male,Junior High,Wage Employed,Landscaping,Agriculture,Experienced Worker,Graduate
Pacol,HEO (Wheel Loader) NC II,37,Male,Junior High,Self-employed,Heavy Equipment Operation,Construction,Returning Learner,Dropout
Binubuhan,Organic Agriculture Production NC II,18,Female,Elementary Graduate,Self-employed,Organic Farming,Agriculture,Career Shifter,Graduate
Ma-ao,Organic Agriculture Production NC II,32,Female,College Undergraduate,Underemployed,Organic Farming,Agriculture,New Entrant,Graduate
Alianza,Bookkeeping NC II,23,Female,Senior High,Self-employed,Bookkeeping,Transportation,Experienced Worker,Dropout
Pacol,Bookkeeping NC II,43,Female,College Undergraduate,Underemployed,Bookkeeping,Business,New Entrant,Graduate
Pacol,Carpentry NC II,23,Male,Senior High,Underemployed,Carpentry,Construction,Returning Learner,Dropout
Napoles,Carpentry NC II,37,Male,Junior High,Underemployed,Carpentry,Construction,Returning Learner,Graduate
Mailum,Organic Agriculture Production NC II,46,Male,College Undergraduate,Wage Employed,Organic Farming,Construction,Returning Learner,Dropout
Bacong,Masonry NC I,42,Male,College Undergraduate,Wage Employed,Masonry,Construction,Career Shifter,Graduate
Mailum,Cookery NC II,29,Male,Senior High,Underemployed,Cooking,Hospitality,New Entrant,Dropout
Bacong,Machining NC II,27,Female,Senior High,Unemployed,Machining,Manufacturing,Career Shifter,Dropout
Calumangan,Landscape Installation and Maintenance (Softscape),22,Female,Senior High,Self-employed,Landscaping,Agriculture,Experienced Worker,Dropout
Pacol,Carpentry NC II,19,Female,College Undergraduate,Wage Employed,Carpentry,Construction,Experienced Worker,Graduate
Poblacion,Electronic Products Assembly and Servicing NC II,32,Male,College Undergraduate,Wage Employed,Electronics,Transportation,Returning Learner,Graduate
Lag-asan,Cookery NC II,24,Female,College Undergraduate,Wage Employed,Cooking,Hospitality,Experienced Worker,Graduate
Bacong,Bookkeeping NC II,27,Female,Elementary Graduate,Self-employed,Bookkeeping,Business,New Entrant,Graduate
Sagasa,HEO (Forklift) NC II,35,Male,College Undergraduate,Self-employed,Heavy Equipment Operation,Construction,Experienced Worker,Graduate
Ilijan,Carpentry NC II,28,Female,Senior High,Wage Employed,Carpentry,Construction,Experienced Worker,Graduate
Bacong,Landscape Installation and Maintenance (Softscape),26,Female,College Undergraduate,Self-employed,Landscaping,Agriculture,Experienced Worker,Graduate
Binubuhan,Shielded Metal Arc Welding NC II,35,Male,Junior High,Underemployed,Welding,Construction,New Entrant,Graduate
Lag-asan,Electrical Installation and Maintenance NC II,25,Male,College Graduate,Wage Employed,Electrical Repair,Education,Experienced Worker,Dropout
Atipuluan,Electronic Products Assembly and Servicing NC II,28,Male,Elementary Graduate,Self-employed,Electronics,Hospitality,Experienced Worker,Dropout
Dulao,Driving NC II,27,Male,Elementary Graduate,Unemployed,Driving,Transportation,New Entrant,Dropout
Poblacion,Computer Systems Servicing NC II,42,Female,College Undergraduate,Underemployed,Computer Literacy,ICT,Returning Learner,Dropout
Napoles,HEO (Bulldozer) NC II,22,Male,Elementary Graduate,Unemployed,Heavy Equipment Operation,Construction,Returning Learner,Dropout
Mailum,Computer Systems Servicing NC II,44,Female,College Undergraduate,Wage Employed,Computer Literacy,ICT,Career Shifter,Dropout
Poblacion,Construction Painting NC II,39,Male,Senior High,Self-employed,Painting,Construction,Returning Learner,Dropout
Caridad,Masonry NC II,34,Female,Senior High,Unemployed,Masonry,Construction,Career Shifter,Graduate
Binubuhan,Computer Systems Servicing NC II,19,Female,Senior High,Unemployed,Computer Literacy,ICT,Career Shifter,Dropout
Lag-asan,Masonry NC I,23,Male,Senior High,Self-employed,Masonry,Construction,New Entrant,Graduate
Bacong,Bookkeeping NC II,32,Male,College Undergraduate,Underemployed,Bookkeeping,Business,Career Shifter,Graduate
Bacong,Bread and Pastry NC II,40,Female,Senior High,Unemployed,Baking,Hospitality,Career Shifter,Graduate
Abuanan,Construction Painting NC II,39,Female,Senior High,Unemployed,Painting,Construction,New Entrant,Dropout
Calumangan,HEO (Wheel Loader) NC II,41,Male,Senior High,Unemployed,Carpentry,Construction,Career Shifter,Graduate
Pacol,Driving NC II,33,Male,Junior High,Underemployed,Driving,Transportation,New Entrant,Graduate
Busay,Trainers Methodology Level I,19,Male,College Undergraduate,Self-employed,Training Delivery,Education,Experienced Worker,Graduate
Dulao,Organic Agriculture Production NC II,38,Male,Senior High,Unemployed,Organic Farming,Agriculture,Returning Learner,Graduate
Dulao,Computer Systems Servicing NC II,30,Female,College Undergraduate,Underemployed,Computer Literacy,ICT,New Entrant,Graduate
Alianza,Carpentry NC II,32,Female,Junior High,Unemployed,Baking,Hospitality,Career Shifter,Graduate
Binubuhan,Machining NC I,22,Male,Junior High,Wage Employed,Machining,Manufacturing,Experienced Worker,Graduate
Alianza,Bread and Pastry NC II,30,Male,Junior High,Underemployed,Baking,Hospitality,Career Shifter,Graduate
Alianza,Electrical Installation and Maintenance NC II,37,Male,Senior High,Self-employed,Electrical Repair,Construction,Experienced Worker,Dropout
Dulao,Organic Agriculture Production NC II,40,Male,Elementary Graduate,Underemployed,Organic Farming,Agriculture,Experienced Worker,Dropout
Binubuhan,Electronic Products Assembly and Servicing NC II,21,Female,Junior High,Underemployed,Electronics,Manufacturing,New Entrant,Dropout
Mailum,Bookkeeping NC II,32,Female,Senior High,Underemployed,Bookkeeping,Business,Career Shifter,Graduate
Alianza,Electronic Products Assembly and Servicing NC II,24,Female,Senior High,Underemployed,Electronics,Hospitality,Experienced Worker,Graduate
Calumangan,Construction Painting NC II,26,Male,Senior High,Wage Employed,Painting,Construction,Returning Learner,Dropout
Taloc,Bookkeeping NC II,33,Male,Elementary Graduate,Underemployed,Bookkeeping,Business,Returning Learner,Graduate
Bagroy,Landscape Installation and Maintenance (Softscape),22,Male,Senior High,Unemployed,Painting,Construction,Career Shifter,Graduate
Lag-asan,Organic Agriculture Production NC II,36,Male,College Undergraduate,Underemployed,Organic Farming,Agriculture,New Entrant,Graduate
Dulao,Bookkeeping NC II,34,Female,Junior High,Underemployed,Bookkeeping,Business,Career Shifter,Graduate
Ilijan,Machining NC I,33,Male,Senior High,Underemployed,Machining,Manufacturing,Returning Learner,Dropout
Caridad,Machining NC I,30,Female,Junior High,Wage Employed,Machining,Manufacturing,Experienced Worker,Graduate
Alianza,Carpentry NC II,22,Male,College Undergraduate,Self-employed,Carpentry,Construction,Experienced Worker,Dropout
Bacong,Cookery NC II,38,Female,Junior High,Wage Employed,Cooking,Transportation,Experienced Worker,Graduate
Poblacion,Electronic Products Assembly and Servicing NC II,22,Female,Senior High,Underemployed,Cooking,Hospitality,Career Shifter,Dropout
Alianza,Landscape Installation and Maintenance (Softscape),25,Male,Elementary Graduate,Self-employed,Landscaping,Agriculture,Experienced Worker,Dropout
Caridad,Trainers Methodology Level I,55,Male,College Graduate,Wage Employed,Training Delivery,Education,Career Shifter,Graduate
Bacong,Bookkeeping NC II,21,Female,College Undergraduate,Unemployed,Bookkeeping,Business,Returning Learner,Dropout
Atipuluan,Shielded Metal Arc Welding NC II,20,Male,Senior High,Unemployed,Welding,Construction,Returning Learner,Dropout
Taloc,Electronic Products Assembly and Servicing NC II,40,Female,Senior High,Unemployed,Electronics,Manufacturing,Career Shifter,Dropout
Busay,Carpentry NC II,27,Male,Elementary Graduate,Underemployed,Carpentry,Construction,Career Shifter,Dropout
Mailum,Computer Systems Servicing NC II,44,Female,Senior High,Self-employed,Computer Literacy,ICT,Experienced Worker,Dropout
Bagroy,Driving NC II,43,Male,Senior High,Underemployed,Driving,Transportation,New Entrant,Dropout
Taloc,Bread and Pastry NC II,41,Male,Senior High,Self-employed,Baking,Hospitality,Experienced Worker,Dropout
Busay,HEO (Forklift) NC II,22,Female,Junior High,Underemployed,Bookkeeping,Business,Experienced Worker,Graduate
Caridad,Computer Systems Servicing NC II,18,Female,Junior High,Unemployed,Training Delivery,Education,New Entrant,Dropout
Caridad,Cookery NC II,38,Male,Senior High,Unemployed,Cooking,Hospitality,New Entrant,Dropout
Tabunan,Cookery NC II,29,Male,Junior High,Underemployed,Cooking,Hospitality,New Entrant,Dropout
Sagasa,Construction Painting NC II,36,Male,Senior High,Unemployed,Painting,Construction,New Entrant,Dropout
Balingasag,Driving NC II,39,Male,Senior High,Wage Employed,Driving,Transportation,New Entrant,Dropout
Mailum,HEO (Forklift) NC II,35,Male,College Undergraduate,Self-employed,Driving,Transportation,Returning Learner,Graduate
Alianza,Bookkeeping NC II,44,Male,College Undergraduate,Underemployed,Driving,Transportation,Career Shifter,Dropout
Ilijan,Organic Agriculture Production NC II,38,Female,Senior High,Unemployed,Organic Farming,Agriculture,Career Shifter,Dropout
Bacong,Machining NC II,29,Female,Senior High,Self-employed,Computer Literacy,ICT,Career Shifter,Graduate
Dulao,Carpentry NC II,24,Female,College Undergraduate,Wage Employed,Carpentry,Education,Experienced Worker,Graduate
Pacol,Driving NC II,24,Male,Elementary Graduate,Self-employed,Machining,Manufacturing,Experienced Worker,Dropout
Bacong,Machining NC I,33,Male,Elementary Graduate,Unemployed,Machining,Agriculture,Returning Learner,Dropout
Poblacion,Bookkeeping NC II,43,Female,Senior High,Underemployed,Cooking,Hospitality,Career Shifter,Graduate
Ma-ao,Masonry NC II,21,Male,Elementary Graduate,Unemployed,Masonry,Construction,New Entrant,Dropout
Tabunan,Trainers Methodology Level I,44,Female,College Undergraduate,Unemployed,Training Delivery,Education,Career Shifter,Dropout
Taloc,Bookkeeping NC II,21,Female,Junior High,Underemployed,Bookkeeping,Business,Career Shifter,Graduate
Napoles,Electrical Installation and Maintenance NC II,29,Male,College Graduate,Self-employed,Training Delivery,Education,Career Shifter,Graduate
Tabunan,Bookkeeping NC II,41,Male,Senior High,Self-employed,Landscaping,Agriculture,New Entrant,Dropout
Bagroy,Bookkeeping NC II,40,Male,Elementary Graduate,Underemployed,Bookkeeping,Education,New Entrant,Graduate
Bacong,Masonry NC II,21,Male,Elementary Graduate,Unemployed,Masonry,Construction,New Entrant,Dropout
Ma-ao,Shielded Metal Arc Welding NC II,23,Female,College Undergraduate,Unemployed,Machining,Manufacturing,Career Shifter,Dropout
Taloc,Bread and Pastry NC II,33,Male,Elementary Graduate,Underemployed,Baking,Hospitality,New Entrant,Dropout
Lag-asan,HEO (Forklift) NC II,41,Female,Senior High,Self-employed,Heavy Equipment Operation,Construction,Experienced Worker,Graduate
Busay,Shielded Metal Arc Welding NC I,19,Male,Senior High,Self-employed,Heavy Equipment Operation,Construction,Career Shifter,Graduate
Ma-ao,Masonry NC I,26,Male,Elementary Graduate,Unemployed,Masonry,Construction,Returning Learner,Dropout
Alianza,Electrical Installation and Maintenance NC II,39,Female,Senior High,Unemployed,Electrical Repair,Construction,New Entrant,Dropout
Ilijan,Masonry NC I,35,Female,Elementary Graduate,Unemployed,Machining,Manufacturing,Career Shifter,Graduate
Napoles,Masonry NC II,36,Male,Senior High,Self-employed,Masonry,Manufacturing,Experienced Worker,Graduate
Dulao,Computer Systems Servicing NC II,40,Male,College Undergraduate,Underemployed,Computer Literacy,ICT,Returning Learner,Graduate
Balingasag,Shielded Metal Arc Welding NC II,32,Male,Junior High,Underemployed,Welding,Construction,New Entrant,Graduate
Binubuhan,Landscape Installation and Maintenance (Softscape),43,Female,College Undergraduate,Underemployed,Landscaping,Agriculture,Career Shifter,Graduate
Atipuluan,Cookery NC II,46,Male,College Undergraduate,Wage Employed,Cooking,Hospitality,Experienced Worker,Graduate
Mailum,Shielded Metal Arc Welding NC I,27,Male,Senior High,Self-employed,Welding,Construction,Returning Learner,Dropout
Atipuluan,Trainers Methodology Level I,38,Female,Senior High,Unemployed,Training Delivery,Education,New Entrant,Graduate
Lag-asan,Shielded Metal Arc Welding NC II,23,Female,Senior High,Self-employed,Welding,Construction,Experienced Worker,Dropout
Lag-asan,Construction Painting NC II,32,Male,College Graduate,Wage Employed,Painting,Construction,Returning Learner,Dropout
Balingasag,Driving NC II,28,Male,College Undergraduate,Unemployed,Driving,Transportation,Returning Learner,Dropout
Ilijan,Organic Agriculture Production NC II,27,Female,Junior High,Underemployed,Organic Farming,Agriculture,New Entrant,Dropout
Malingin,Landscape Installation and Maintenance (Softscape),27,Male,Senior High,Self-employed,Landscaping,Agriculture,Experienced Worker,Dropout
Mailum,HEO (Hydraulic Excavator) NC II,40,Male,Elementary Graduate,Underemployed,Painting,Transportation,Returning Learner,Graduate
Sagasa,Driving NC II,30,Male,Senior High,Unemployed,Driving,Transportation,New Entrant,Dropout
Taloc,Shielded Metal Arc Welding NC I,24,Male,Elementary Graduate,Unemployed,Painting,Construction,Career Shifter,Dropout
Napoles,Machining NC I,33,Male,Senior High,Self-employed,Machining,Manufacturing,Returning Learner,Graduate
Bagroy,Machining NC I,46,Male,College Graduate,Underemployed,Machining,Manufacturing,New Entrant,Graduate
Mailum,Landscape Installation and Maintenance (Softscape),35,Female,Junior High,Underemployed,Landscaping,Agriculture,Returning Learner,Dropout
Abuanan,Organic Agriculture Production NC II,34,Female,Senior High,Self-employed,Organic Farming,Agriculture,Returning Learner,Dropout
Malingin,Organic Agriculture Production NC II,20,Female,Senior High,Wage Employed,Organic Farming,Agriculture,Experienced Worker,Graduate
Bagroy,Bookkeeping NC II,34,Female,Senior High,Wage Employed,Bookkeeping,Business,Returning Learner,Graduate
Busay,Organic Agriculture Production NC II,19,Female,Elementary Graduate,Unemployed,Organic Farming,Agriculture,New Entrant,Dropout
Balingasag,Bread and Pastry NC II,21,Male,Senior High,Self-employed,Baking,Hospitality,Experienced Worker,Graduate
Calumangan,Masonry NC II,37,Male,Elementary Graduate,Self-employed,Masonry,Construction,Experienced Worker,Graduate
Mailum,Construction Painting NC II,39,Male,Junior High,Unemployed,Painting,Construction,Career Shifter,Graduate
Malingin,Electrical Installation and Maintenance NC II,22,Male,Senior High,Self-employed,Electrical Repair,Construction,Returning Learner,Graduate
Sagasa,Trainers Methodology Level I,45,Female,College Graduate,Wage Employed,Training Delivery,Education,Experienced Worker,Graduate
Bacong,Electronic Products Assembly and Servicing NC II,46,Male,College Undergraduate,Underemployed,Electronics,Education,Returning Learner,Graduate
Alianza,Masonry NC I,21,Male,College Undergraduate,Wage Employed,Masonry,Construction,Career Shifter,Dropout
Balingasag,Construction Painting NC II,20,Female,Elementary Graduate,Underemployed,Painting,Construction,Experienced Worker,Dropout
Atipuluan,Trainers Methodology Level I,47,Female,College Graduate,Self-employed,Training Delivery,Education,Career Shifter,Graduate
Busay,Trainers Methodology Level I,25,Male,College Graduate,Unemployed,Training Delivery,Education,Returning Learner,Dropout
Taloc,Electrical Installation and Maintenance NC II,30,Female,Elementary Graduate,Wage Employed,Electrical Repair,Construction,Returning Learner,Graduate
Ma-ao,Bread and Pastry NC II,40,Female,Elementary Graduate,Unemployed,Baking,Manufacturing,New Entrant,Graduate
Busay,Electronic Products Assembly and Servicing NC II,22,Male,Junior High,Underemployed,Electronics,Manufacturing,New Entrant,Dropout
Ilijan,Electrical Installation and Maintenance NC II,35,Male,College Undergraduate,Underemployed,Masonry,Construction,New Entrant,Graduate
Abuanan,Electrical Installation and Maintenance NC II,19,Male,Elementary Graduate,Unemployed,Electrical Repair,Construction,New Entrant,Graduate
Mailum,Electrical Installation and Maintenance NC II,22,Male,Senior High,Underemployed,Electrical Repair,Construction,New Entrant,Graduate
Dulao,Shielded Metal Arc Welding NC I,23,Female,College Undergraduate,Wage Employed,Welding,Construction,Experienced Worker,Graduate
Abuanan,Electronic Products Assembly and Servicing NC II,28,Female,Senior High,Underemployed,Electronics,Manufacturing,Experienced Worker,Graduate
Balingasag,Computer Systems Servicing NC II,32,Female,Junior High,Unemployed,Computer Literacy,Transportation,Returning Learner,Graduate
Malingin,Bread and Pastry NC II,28,Male,Junior High,Self-employed,Baking,Business,Experienced Worker,Dropout
Bagroy,Shielded Metal Arc Welding NC I,31,Male,Junior High,Underemployed,Welding,Construction,Returning Learner,Graduate
Bagroy,Cookery NC II,25,Male,Elementary Graduate,Unemployed,Driving,Transportation,New Entrant,Graduate
Bacong,Electrical Installation and Maintenance NC II,29,Male,Junior High,Underemployed,Electrical Repair,Construction,New Entrant,Graduate
Ilijan,Cookery NC II,23,Male,Junior High,Unemployed,Cooking,Hospitality,New Entrant,Graduate
Bagroy,Electronic Products Assembly and Servicing NC II,26,Male,College Undergraduate,Wage Employed,Electronics,Manufacturing,Experienced Worker,Dropout
Taloc,Electrical Installation and Maintenance NC II,31,Male,College Undergraduate,Self-employed,Electrical Repair,Construction,Returning Learner,Dropout
Napoles,Electronic Products Assembly and Servicing NC II,32,Male,Junior High,Underemployed,Electronics,Manufacturing,New Entrant,Dropout
Tabunan,Cookery NC II,39,Female,College Undergraduate,Unemployed,Cooking,Hospitality,New Entrant,Dropout
Bacong,Trainers Methodology Level I,43,Male,College Graduate,Wage Employed,Training Delivery,Education,New Entrant,Graduate
Ma-ao,Landscape Installation and Maintenance (Softscape),34,Male,Junior High,Underemployed,Heavy Equipment Operation,Construction,Career Shifter,Graduate
Alianza,Bread and Pastry NC II,26,Male,Junior High,Unemployed,Baking,Hospitality,Returning Learner,Graduate
Atipuluan,Shielded Metal Arc Welding NC I,40,Female,Elementary Graduate,Unemployed,Bookkeeping,Agriculture,Returning Learner,Dropout
Caridad,Machining NC II,22,Male,Senior High,Underemployed,Machining,Manufacturing,Returning Learner,Graduate
Balingasag,Organic Agriculture Production NC II,28,Female,College Graduate,Wage Employed,Organic Farming,Agriculture,Experienced Worker,Graduate
Ma-ao,Machining NC II,40,Male,Elementary Graduate,Underemployed,Machining,Manufacturing,Returning Learner,Dropout
Lag-asan,Bookkeeping NC II,22,Female,Senior High,Self-employed,Bookkeeping,Business,Experienced Worker,Graduate
Alianza,Bookkeeping NC II,31,Female,Junior High,Unemployed,Bookkeeping,Business,New Entrant,Dropout
Busay,Landscape Installation and Maintenance (Softscape),37,Female,Senior High,Underemployed,Landscaping,Agriculture,Career Shifter,Graduate
Bagroy,Driving NC II,42,Male,Senior High,Underemployed,Driving,Transportation,New Entrant,Graduate
Binubuhan,Computer Systems Servicing NC II,32,Female,Senior High,Unemployed,Computer Literacy,ICT,New Entrant,Graduate
Bacong,Electronic Products Assembly and Servicing NC II,26,Female,Junior High,Wage Employed,Welding,Construction,Career Shifter,Graduate
Taloc,Masonry NC II,26,Male,Elementary Graduate,Underemployed,Masonry,Construction,New Entrant,Graduate
Balingasag,Bookkeeping NC II,34,Female,Senior High,Self-employed,Bookkeeping,Business,Experienced Worker,Graduate
Binubuhan,Shielded Metal Arc Welding NC I,27,Male,Senior High,Unemployed,Welding,Construction,Returning Learner,Dropout
Malingin,Electronic Products Assembly and Servicing NC II,20,Female,College Undergraduate,Unemployed,Electronics,Manufacturing,Returning Learner,Graduate
Balingasag,Construction Painting NC II,34,Male,Junior High,Unemployed,Painting,Manufacturing,New Entrant,Graduate
Alianza,HEO (Wheel Loader) NC II,44,Female,College Undergraduate,Self-employed,Heavy Equipment Operation,Construction,Returning Learner,Dropout
Busay,Masonry NC I,37,Male,Senior High,Underemployed,Masonry,Construction,Career Shifter,Dropout
